userPrincipalName,displayName,mailNickname,Password,Enabled,forceChangePasswordNextSignIn
MMSBlogUser01@yourdomain.com,MMSBlogUser01,MMSBlogUser01,MM$Cr3d!,FALSE,TRUE
MMSBlogUser02@yourdomain.com,MMSBlogUser02,MMSBlogUser02,MM$Cr3d!,FALSE,TRUE
MMSBlogUser03@yourdomain.com,MMSBlogUser03,MMSBlogUser03,MM$Cr3d!,FALSE,TRUE
MMSBlogUser04@yourdomain.com,MMSBlogUser04,MMSBlogUser04,MM$Cr3d!,FALSE,TRUE
MMSBlogUser05@yourdomain.com,MMSBlogUser05,MMSBlogUser05,MM$Cr3d!,FALSE,TRUE
MMSBlogUser06@yourdomain.com,MMSBlogUser06,MMSBlogUser06,MM$Cr3d!,FALSE,TRUE
MMSBlogUser07@yourdomain.com,MMSBlogUser07,MMSBlogUser07,MM$Cr3d!,FALSE,TRUE
MMSBlogUser08@yourdomain.com,MMSBlogUser08,MMSBlogUser08,MM$Cr3d!,FALSE,TRUE
MMSBlogUser09@yourdomain.com,MMSBlogUser09,MMSBlogUser09,MM$Cr3d!,FALSE,TRUE
MMSBlogUser10@yourdomain.com,MMSBlogUser10,MMSBlogUser10,MM$Cr3d!,FALSE,TRUE
MMSBlogUser11@yourdomain.com,MMSBlogUser11,MMSBlogUser11,MM$Cr3d!,FALSE,TRUE
MMSBlogUser12@yourdomain.com,MMSBlogUser12,MMSBlogUser12,MM$Cr3d!,FALSE,TRUE
MMSBlogUser13@yourdomain.com,MMSBlogUser13,MMSBlogUser13,MM$Cr3d!,FALSE,TRUE
MMSBlogUser14@yourdomain.com,MMSBlogUser14,MMSBlogUser14,MM$Cr3d!,FALSE,TRUE
MMSBlogUser15@yourdomain.com,MMSBlogUser15,MMSBlogUser15,MM$Cr3d!,FALSE,TRUE
MMSBlogUser16@yourdomain.com,MMSBlogUser16,MMSBlogUser16,MM$Cr3d!,FALSE,TRUE
MMSBlogUser17@yourdomain.com,MMSBlogUser17,MMSBlogUser17,MM$Cr3d!,FALSE,TRUE
MMSBlogUser18@yourdomain.com,MMSBlogUser18,MMSBlogUser18,MM$Cr3d!,FALSE,TRUE
MMSBlogUser19@yourdomain.com,MMSBlogUser19,MMSBlogUser19,MM$Cr3d!,FALSE,TRUE
MMSBlogUser20@yourdomain.com,MMSBlogUser20,MMSBlogUser20,MM$Cr3d!,FALSE,TRUE
MMSBlogUser21@yourdomain.com,MMSBlogUser21,MMSBlogUser21,MM$Cr3d!,FALSE,TRUE
MMSBlogUser22@yourdomain.com,MMSBlogUser22,MMSBlogUser22,MM$Cr3d!,FALSE,TRUE
MMSBlogUser23@yourdomain.com,MMSBlogUser23,MMSBlogUser23,MM$Cr3d!,FALSE,TRUE
MMSBlogUser24@yourdomain.com,MMSBlogUser24,MMSBlogUser24,MM$Cr3d!,FALSE,TRUE
MMSBlogUser25@yourdomain.com,MMSBlogUser25,MMSBlogUser25,MM$Cr3d!,FALSE,TRUE
MMSBlogUser26@yourdomain.com,MMSBlogUser26,MMSBlogUser26,MM$Cr3d!,FALSE,TRUE
MMSBlogUser27@yourdomain.com,MMSBlogUser27,MMSBlogUser27,MM$Cr3d!,FALSE,TRUE
MMSBlogUser28@yourdomain.com,MMSBlogUser28,MMSBlogUser28,MM$Cr3d!,FALSE,TRUE
MMSBlogUser29@yourdomain.com,MMSBlogUser29,MMSBlogUser29,MM$Cr3d!,FALSE,TRUE
MMSBlogUser30@yourdomain.com,MMSBlogUser30,MMSBlogUser30,MM$Cr3d!,FALSE,TRUE
MMSBlogUser31@yourdomain.com,MMSBlogUser31,MMSBlogUser31,MM$Cr3d!,FALSE,TRUE
MMSBlogUser32@yourdomain.com,MMSBlogUser32,MMSBlogUser32,MM$Cr3d!,FALSE,TRUE
MMSBlogUser33@yourdomain.com,MMSBlogUser33,MMSBlogUser33,MM$Cr3d!,FALSE,TRUE
MMSBlogUser34@yourdomain.com,MMSBlogUser34,MMSBlogUser34,MM$Cr3d!,FALSE,TRUE
MMSBlogUser35@yourdomain.com,MMSBlogUser35,MMSBlogUser35,MM$Cr3d!,FALSE,TRUE
MMSBlogUser36@yourdomain.com,MMSBlogUser36,MMSBlogUser36,MM$Cr3d!,FALSE,TRUE
MMSBlogUser37@yourdomain.com,MMSBlogUser37,MMSBlogUser37,MM$Cr3d!,FALSE,TRUE
MMSBlogUser38@yourdomain.com,MMSBlogUser38,MMSBlogUser38,MM$Cr3d!,FALSE,TRUE
MMSBlogUser39@yourdomain.com,MMSBlogUser39,MMSBlogUser39,MM$Cr3d!,FALSE,TRUE
MMSBlogUser40@yourdomain.com,MMSBlogUser40,MMSBlogUser40,MM$Cr3d!,FALSE,TRUE
MMSBlogUser41@yourdomain.com,MMSBlogUser41,MMSBlogUser41,MM$Cr3d!,FALSE,TRUE
MMSBlogUser42@yourdomain.com,MMSBlogUser42,MMSBlogUser42,MM$Cr3d!,FALSE,TRUE
MMSBlogUser43@yourdomain.com,MMSBlogUser43,MMSBlogUser43,MM$Cr3d!,FALSE,TRUE
MMSBlogUser44@yourdomain.com,MMSBlogUser44,MMSBlogUser44,MM$Cr3d!,FALSE,TRUE
MMSBlogUser45@yourdomain.com,MMSBlogUser45,MMSBlogUser45,MM$Cr3d!,FALSE,TRUE
MMSBlogUser46@yourdomain.com,MMSBlogUser46,MMSBlogUser46,MM$Cr3d!,FALSE,TRUE
MMSBlogUser47@yourdomain.com,MMSBlogUser47,MMSBlogUser47,MM$Cr3d!,FALSE,TRUE
MMSBlogUser48@yourdomain.com,MMSBlogUser48,MMSBlogUser48,MM$Cr3d!,FALSE,TRUE
MMSBlogUser49@yourdomain.com,MMSBlogUser49,MMSBlogUser49,MM$Cr3d!,FALSE,TRUE
MMSBlogUser50@yourdomain.com,MMSBlogUser50,MMSBlogUser50,MM$Cr3d!,FALSE,TRUE
